2026-07-22 00:50:29 | INFO     | app.config.logging | Logging initialized
2026-07-22 00:50:29 | INFO     | app.main | Application started
2026-07-22 00:50:29 | INFO     | uvicorn.error | Started server process [28644]
2026-07-22 00:50:29 | INFO     | uvicorn.error | Waiting for application startup.
2026-07-22 00:50:29 | INFO     | uvicorn.error | Application startup complete.
2026-07-22 00:50:29 | INFO     | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-07-22 02:02:46 | INFO     | app.config.logging | Logging initialized
2026-07-22 02:02:46 | INFO     | app.main | Application started
2026-07-22 02:02:46 | INFO     | uvicorn.error | Started server process [10152]
2026-07-22 02:02:46 | INFO     | uvicorn.error | Waiting for application startup.
2026-07-22 02:02:46 | INFO     | uvicorn.error | Application startup complete.
2026-07-22 02:02:46 | ERROR    | uvicorn.error | [Errno 10048] error while attempting to bind on address ('0.0.0.0', 8000): only one usage of each socket address (protocol/network address/port) is normally permitted
2026-07-22 02:02:46 | INFO     | uvicorn.error | Waiting for application shutdown.
2026-07-22 02:02:46 | INFO     | uvicorn.error | Application shutdown complete.
2026-07-22 02:02:50 | INFO     | uvicorn.access | 127.0.0.1:52153 - "GET /api/v1/health HTTP/1.1" 200
